uid,發布單位Publisher,關鍵字Keywords,表現型Phenotype,涵蓋範圍Coverage$區域空間Spatial,涵蓋範圍Coverage$物理樣本Physical_sample_availability,涵蓋範圍Coverage$隨訪期Follow_up,出處Provenance$目的Purpose,出處Provenance$來源Source,出處Provenance$蒐集情境Collection_situation,出處Provenance$週期計算Accrual_periodicity,出處Provenance$延遲Time_lag,存取權Access$交貨時間Delivery_lead_time,存取權Access$法律管轄權Jurisdiction,格式與標準Format_and_standards$詞彙編碼Vocabulary_encoding_scheme,格式與標準Format_and_standards$符合標準Conforms_to,格式與標準Format_and_standards$語言Language,數據效用Data_utility$文檔Documentation$其他文檔與支援Additional_documentation_and_support,數據效用Data_utility$文檔Documentation$數據模式Data_model,數據效用Data_utility$文檔Documentation$數據字典Data_dictionary,數據效用Data_utility$文檔Documentation$出處Provenance,數據效用Data_utility$質量技術Technical_quality$數據質量管理流程Data_Quality_Management_Process,數據效用Data_utility$訪問和提供Access_and_provision$允許的用途Allowable_uses,數據效用Data_utility$訪問和提供Access_and_provision$延遲Time_lag,數據效用Data_utility$訪問和提供Access_and_provision$時效性Timeliness,數據效用Data_utility$價值和利益Value_and_interest$連動性Linkages,數據效用Data_utility$價值和利益Value_and_interest$數據豐富度Data_Enrichments,數據效用Data_utility$涵蓋範圍Coverage$涵蓋的途徑Pathway_coverage,數據效用Data_utility$涵蓋範圍Coverage$隨訪時間Length_of_follow_up,元數據技術Technical_Metadata,商業用途Commercial_use,資料集標題,資料集來源,來源單位Logo,認證徽章,資料集Tag,摘要Abstract,資料集豐富度評分,觀看次數,數位物件識別碼DOI_for_元數據_not_paper,最新資料集發布日期Latest_dataset_release_date,發布頻率Publishing_frequency,創建日期Creation_Date,最後更新時間Last_updated,版本_Version,資源創建者單位Resource_creator,資料集延遲Dataset_time_lag,涵蓋區域Geographical_coverage,年齡區間Typical_age_range,物理樣本Physical_sample_availability,隨訪期Follow_up,途徑Pathway,語義註釋Semantic_Annotations,數據模型Data_models,語言Language,格式Format,目的Purpose,來源Source,蒐集情境Collection_situation,派生分化Derived_from,統計人口Statistical_population,人口描述Population_description,人口規模Population_size,測量屬性Measured_property,觀察日期Observation_date,訪問訊息Access_information,處裡時間Processing_time,訪問請求成本Access_request_cost,訪問環境Access_environment,管轄權Jurisdiction,限制Limitations,要求Requirements,數據控制者Data_Controller,數據處裡者Data_Processor,論文Papers,計畫項目Projects,工具Tools
17,GODARTS,Accident & Emergency,Alopecia Areata,Salford and South Manchester,Primary Cells,Other,Trial,Epr,In-patients,Annual,More 6 Months,1-2 Weeks,Bd,Snomed Rt,Dicom,En,"As Silver, plus dataset publication was supported with a journal article explaining the dataset in detail, or dataset training materials",Key fields coded using local standard,Dictionary relates to national definitions,"Dataset source, any transformations, rule and exclusions documented","A documented data management plan covering collection, auditing, and management is available for the dataset",Student / educational project,1 week,Less than 1 month,"List of restrictions on the type of linkages detailed. List of previously successful dataset linkages performed, with navigable links to linked datasets via at DOI/URL","The derived fields or enriched data were generated from, or used by, a peer reviewed algorithm",Contains multimodal data or data that is linked across two tiers (e.g. primary and secondary care),Between 6-12 months,Contains Technical Metadata,Consented for commercial uses,Glaucoma dataset at University Hospitals Birmingham,GODARTS,../../database.png,../../shield.png,Acute Care Process,"The dataset is a longitudinal dataset consisting of eye images and retinopathy grades from those who are screened for diabetic retinopathy in the Birmingham, Solihull and Black Country DR screening program.",83,9983,10.1016/j.envres.2014.07.042,01/08/2035,STATIC,01/11/2021,01/11/2021,1.0.17,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648164/great-britain.html,18-91,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2032 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD27",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53017,"Questionnaire, clinical measurements, cognitive tests",31/03/2032,https://police-health.org.uk/applying-access-resource,2-23 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2031).",https://police-health.org.uk/approved-research,Unrecognised dataset title
18,GREAT ORMOND STREET HOSPITAL,Accident And Emergency,Alpha Blockers,Scotland,Rna,> 10 Years,Administrative,Freetext Nlp,Other,Biannual,No Timelag,16 Weeks (8 Weeks For Committee Decision And 8 Weeks For Data Extraction And Processing),Gb,Dm+d,Hl7 Ccow,Af,"Comprehensive ReadMe describing extracting and use of data, Dataset FAQS available, Visual data model provided",Key fields coded using national/international standard,Definitions compiled into local data dictionary which is available online,"All original data items, transformations, rules, exclusions and impact listed","Externally verified compliance with the data management plan, e.g. by ISO, CQC, ICO or other body",Charitable or non-profit project,1 month,Less than 3 months,Available linkages outlined and/or List of datasets previously successfully linked provided,The data includes derived fields or enriched data from a national report,Contains data from multiple specialties or services within a single tier of care,Between 1-10 years,Contains Technical Metadata,Consented for commercial uses,Moorfields DMO Dataset 003,GREAT ORMOND STREET HOSPITAL,../../database.png,../../shield.png,Acute Compartment Syndrome,"The Airwave Health Monitoring Study (AHMS) is a long-term occupational observational cohort study and tissue bank following up the health of c. 53,000 police officers and staff across Great Britain.",82,9982,10.1016/j.envres.2014.07.043,01/08/2036,STATIC,01/11/2021,01/11/2021,1.0.18,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648165/great-britain.html,18-92,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2033 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD28",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53018,"Questionnaire, clinical measurements, cognitive tests",31/03/2033,https://police-health.org.uk/applying-access-resource,2-24 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2032).",https://police-health.org.uk/approved-research,Unrecognised dataset title
19,GUT REACTION,Accredited Social Health Activists,Alpha-blockers,SLaM provides comprehensive services to four south London boroughs (Croydon,Saliva,0 - 6 Months,Audit,Lims,Outpatients,Biweekly,Not Applicable,2-4 Weeks,Gb-ea,Hpo,Hl7 Cda,En,Past journal articles demonstrate that knowledge of the data exists,Model conforms to national standard and key fields coded to national/international standard,Data definitions available,Earlier and 'raw' versions and the impact of each stage of data cleaning,Evidence that the data management plan has been implemented is available,Commercial project,1 year,Less than 6 months,Identifiers to demonstrate ability to link to other datasets,,Contains data from a single speciality or area,More than 10 years,Contains Technical Metadata,Consented for commercial uses,Moorfields Eye Image BioResource 001,GUT REACTION,../../database.png,../../shield.png,Acute Coronary Syndromes,CSDS sets out national definitions for the extraction of data about children and adults: • personal and demographic • social and personal circumstances • breastfeeding and nutrition • care event and screening activity • diagnoses • scored assessments,81,9981,10.1016/j.envres.2014.07.044,01/08/2037,STATIC,01/11/2021,01/11/2021,1.0.19,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648166/great-britain.html,18-93,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2034 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD29",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53019,"Questionnaire, clinical measurements, cognitive tests",31/03/2034,https://police-health.org.uk/applying-access-resource,2-25 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2033).",https://police-health.org.uk/approved-research,Unrecognised dataset title
20,HDR UK NORTH,Ace Inhibitors,Amiodarone (M2),Southwark) as well as specific national specialist services,Separately Administered Bioresources,1 - 10 Years,Care,Machine Generated,Pharmacy,Continuous,Other,2-6 Months,Gb-eaw,Https://www.cogconsortium.uk/protocols/,Hl7 Fhir,Af,"As Gold, plus support personnel available to answer questions","Known and accepted data model, with some key fields uncoded",Dictionary is based on international standards and includes mapping,Dataset source documented,"A documented data management plan covering collection, auditing, and management is available for the dataset",Academic research,Near real-time data,Less than 2 weeks,Existing linkage with reusable or downstream approvals,"The data include additional derived fields, or enriched data",Contains data across more than two tiers,Between 1-6 months,Contains Technical Metadata,Consented for commercial uses,Moorfields Ophthalmic Prescription 004,HDR UK NORTH,../../database.png,../../shield.png,Acute Glaucoma,NHS Digital’s fortnightly collection of GP data will provide data to support vital planning and research into coronavirus (COVID-19).,80,9980,10.1016/j.envres.2014.07.045,01/08/2038,STATIC,01/11/2021,01/11/2021,1.0.20,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648167/great-britain.html,18-94,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2035 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD30",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53020,"Questionnaire, clinical measurements, cognitive tests",31/03/2035,https://police-health.org.uk/applying-access-resource,2-26 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2034).",https://police-health.org.uk/approved-research,Unrecognised dataset title
21,HEALTH AND SOCIAL CARE NORTHERN IRELAND,Acidosis,Anal Fissure,ttps://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html,Serum,6 - 12 Months,Disease Registry,Other,Primary Care,Daily,Variable,Http://opcrd.co.uk/opcrd-data-request/,Gb-eng,Icd10,Https://www.cogconsortium.uk/protocols/,En,"As Silver, plus dataset publication was supported with a journal article explaining the dataset in detail, or dataset training materials",Key fields coded using local standard,Dictionary relates to national definitions,"Dataset source, any transformations, rule and exclusions documented","Externally verified compliance with the data management plan, e.g. by ISO, CQC, ICO or other body",Student / educational project,1 week,Less than 1 month,"List of restrictions on the type of linkages detailed. List of previously successful dataset linkages performed, with navigable links to linked datasets via at DOI/URL","The data include additional derived fields, or enriched data used by other available data sources",Contains multimodal data or data that is linked across two tiers (e.g. primary and secondary care),Between 6-12 months,Contains Technical Metadata,Consented for commercial uses,Mortality (Death registration),HEALTH AND SOCIAL CARE NORTHERN IRELAND,../../database.png,../../shield.png,Acute Hospitals,Patient-level data set that captures information about people in contact with services commissioned as part of the adult Improving Access to Psychological Services (IAPT) programme.,79,9979,10.1016/j.envres.2014.07.046,01/08/2039,STATIC,01/11/2021,01/11/2021,1.0.21,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648168/great-britain.html,18-95,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2036 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD31",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53021,"Questionnaire, clinical measurements, cognitive tests",31/03/2036,https://police-health.org.uk/applying-access-resource,2-27 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2035).",https://police-health.org.uk/approved-research,Unrecognised dataset title
22,HEALTH DATA RESEARCH UK,Acs,Anaphylaxis,UK,Swabs,Continuous,Financial,Other Information System,Private,In Progress,1-2 Months,Less 1 Week,Gb-gb,Icd9,I2b2,Af,"Comprehensive ReadMe describing extracting and use of data, Dataset FAQS available, Visual data model provided",Key fields coded using national/international standard,Definitions compiled into local data dictionary which is available online,"All original data items, transformations, rules, exclusions and impact listed",Evidence that the data management plan has been implemented is available,Charitable or non-profit project,1 month,Less than 3 months,Available linkages outlined and/or List of datasets previously successfully linked provided,"The derived fields or enriched data were generated from, or used by, a peer reviewed algorithm",Contains data from multiple specialties or services within a single tier of care,Between 1-10 years,Contains Technical Metadata,Consented for commercial uses,NIHR IBD BioResource: Case report form,HEALTH DATA RESEARCH UK,../../database.png,../../shield.png,Acute Ischemic Heart Diseases,Details of completed (processed) COVID-19 antigen tests carried out in NHS hospitals in Northern Ireland.,78,9978,10.1016/j.envres.2014.07.047,01/08/2040,STATIC,01/11/2021,01/11/2021,1.0.22,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648169/great-britain.html,18-96,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2037 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD32",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53022,"Questionnaire, clinical measurements, cognitive tests",31/03/2037,https://police-health.org.uk/applying-access-resource,2-28 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2036).",https://police-health.org.uk/approved-research,Unrecognised dataset title
23,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,Active,Angina,United Kingdom,Tissue,Other,Other,Paper Based,Services,Irregular,1-2 Weeks,More 6 Months,Gb-gbn,Icdo3,Local,En,Past journal articles demonstrate that knowledge of the data exists,Model conforms to national standard and key fields coded to national/international standard,Data definitions available,Earlier and 'raw' versions and the impact of each stage of data cleaning,"A documented data management plan covering collection, auditing, and management is available for the dataset",Commercial project,1 year,Less than 6 months,Identifiers to demonstrate ability to link to other datasets,The data includes derived fields or enriched data from a national report,Contains data from a single speciality or area,More than 10 years,Contains Technical Metadata,Consented for commercial uses,NIHR IBD BioResource: Contact detail,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,../../database.png,../../shield.png,Acute Kidney Injury,Details of completed (processed) COVID-19 antigen tests booked through the NHS-Digital portals.,77,9977,10.1016/j.envres.2014.07.048,01/08/2041,STATIC,01/11/2021,01/11/2021,1.0.23,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648170/great-britain.html,18-97,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2038 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD33",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53023,"Questionnaire, clinical measurements, cognitive tests",31/03/2038,https://police-health.org.uk/applying-access-resource,2-29 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2037).",https://police-health.org.uk/approved-research,Unrecognised dataset title
24,HQIP,Activity Trackers,Angiodysplasia Of Colon,United Kingdom and beyond,Urine,> 10 Years,Statutory,Electronic Survey,Accident An Emergency,Monthly,2-4 Weeks,None,Gb-nir,Local,Locally Negotiated Standard,Af,"As Gold, plus support personnel available to answer questions","Known and accepted data model, with some key fields uncoded",Dictionary is based on international standards and includes mapping,Dataset source documented,"Externally verified compliance with the data management plan, e.g. by ISO, CQC, ICO or other body",Academic research,Near real-time data,Less than 2 weeks,Existing linkage with reusable or downstream approvals,,Contains data across more than two tiers,Between 1-6 months,Contains Technical Metadata,Consented for commercial uses,NIHR IBD BioResource: Sample holding,HQIP,../../database.png,../../shield.png,Acute Medical Care,Details of completed (processed) COVID-19 vaccinations,76,9976,10.1016/j.envres.2014.07.049,01/08/2042,STATIC,01/11/2021,01/11/2021,1.0.24,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648171/great-britain.html,18-98,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2039 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD34",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53024,"Questionnaire, clinical measurements, cognitive tests",31/03/2039,https://police-health.org.uk/applying-access-resource,2-30 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2038).",https://police-health.org.uk/approved-research,Unrecognised dataset title
25,IMPERIAL COLLEGE LONDON,Acuity,Angiotensin-iireceptorantagonists,Wales,Whole Blood,0 - 6 Months,Study,Epr,Accident And Emergency,Other,2-6 Months,Not Applicable,Gb-sct,Loinc,Nhs Data Dictionary,En,"As Silver, plus dataset publication was supported with a journal article explaining the dataset in detail, or dataset training materials",Key fields coded using local standard,Dictionary relates to national definitions,"Dataset source, any transformations, rule and exclusions documented",Evidence that the data management plan has been implemented is available,Student / educational project,1 week,Less than 1 month,"List of restrictions on the type of linkages detailed. List of previously successful dataset linkages performed, with navigable links to linked datasets via at DOI/URL","The data include additional derived fields, or enriched data",Contains multimodal data or data that is linked across two tiers (e.g. primary and secondary care),Between 6-12 months,Contains Technical Metadata,Consented for commercial uses,National Joint Registry - Primary Ankle Replacement dataset,IMPERIAL COLLEGE LONDON,../../database.png,../../shield.png,Acute Medical Unit,This is a record of primary care prescriptions that are submitted by community pharmacies in Northern Ireland to the Business Service Organisation for payment.,75,9975,10.1016/j.envres.2014.07.050,01/08/2043,STATIC,01/11/2021,01/11/2021,1.0.25,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648172/great-britain.html,18-99,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2040 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD35",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53025,"Questionnaire, clinical measurements, cognitive tests",31/03/2040,https://police-health.org.uk/applying-access-resource,2-31 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2039).",https://police-health.org.uk/approved-research,Unrecognised dataset title
26,INSIGHT,Acuity Score,Ankylosing Spondylitis,West Midlands,Not Available,1 - 10 Years,Trial,Freetext Nlp,Clinic,Quarterly,6 Months Plus,"Once We Have Accepted Your Application After Its Initial Review, The Application Is Subject To Our Service Levels. We Only Pause The Elapsed Time When We Require Further Detail, Such As A More Explicit Articulation Of The Purpose, Or When Approvals Are Required From An External Body (Such As Approved Researcher Status From Ons). Our Service Response Times, From The Date That The Application Is Accepted To The Date That You Sign The Agreement",Gb-wls,Nhs National Codes,Nhs Scotland Data Dictionary,Af,"Comprehensive ReadMe describing extracting and use of data, Dataset FAQS available, Visual data model provided",Key fields coded using national/international standard,Definitions compiled into local data dictionary which is available online,"All original data items, transformations, rules, exclusions and impact listed","A documented data management plan covering collection, auditing, and management is available for the dataset",Charitable or non-profit project,1 month,Less than 3 months,Available linkages outlined and/or List of datasets previously successfully linked provided,"The data include additional derived fields, or enriched data used by other available data sources",Contains data from multiple specialties or services within a single tier of care,Between 1-10 years,Contains Technical Metadata,Consented for commercial uses,National Joint Registry - Primary Elbow Replacement dataset,INSIGHT,../../database.png,../../shield.png,Acute Medicine,"The dataset is a longitudinal dataset consisting of eye images and retinopathy grades from those who are screened for diabetic retinopathy in the Birmingham, Solihull and Black Country DR screening program.",74,9974,10.1016/j.envres.2014.07.051,01/08/2044,STATIC,01/11/2021,01/11/2021,1.0.26,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648173/great-britain.html,18-100,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2041 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD36",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53026,"Questionnaire, clinical measurements, cognitive tests",31/03/2041,https://police-health.org.uk/applying-access-resource,2-32 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2040).",https://police-health.org.uk/approved-research,Unrecognised dataset title
